"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Misame (14-21 days)","IFA/BEP","down","Arginine and Proline Metabolism",10,4,0.325,0.000152,0.0149
"Misame (14-21 days)","IFA/BEP","down","Glutamate Metabolism",8,3,0.26,0.00149,0.073
"Misame (14-21 days)","IFA/BEP","down","Methionine Metabolism",11,3,0.358,0.00412,0.133
"Misame (14-21 days)","IFA/BEP","down","Glutathione Metabolism",4,2,0.13,0.0058,0.133
"Misame (14-21 days)","IFA/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,2,0.163,0.00948,0.133
"Misame (14-21 days)","IFA/BEP","down","Carnitine Synthesis",5,2,0.163,0.00948,0.133
"Misame (14-21 days)","IFA/BEP","down","Warburg Effect",5,2,0.163,0.00948,0.133
"Misame (14-21 days)","IFA/BEP","down","Ammonia Recycling",7,2,0.228,0.0191,0.199
"Misame (14-21 days)","IFA/BEP","down","Porphyrin Metabolism",1,1,0.0325,0.0325,0.199
"Misame (14-21 days)","IFA/BEP","down","Pantothenate and CoA Biosynthesis",1,1,0.0325,0.0325,0.199
"Misame (14-21 days)","IFA/BEP","down","Ketone Body Metabolism",1,1,0.0325,0.0325,0.199
"Misame (14-21 days)","IFA/BEP","down","Butyrate Metabolism",1,1,0.0325,0.0325,0.199
"Misame (14-21 days)","IFA/BEP","down","Mitochondrial Electron Transport Chain",1,1,0.0325,0.0325,0.199
"Misame (14-21 days)","IFA/BEP","down","Phytanic Acid Peroxisomal Oxidation",1,1,0.0325,0.0325,0.199
"Misame (14-21 days)","IFA/BEP","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",1,1,0.0325,0.0325,0.199
"Misame (14-21 days)","IFA/BEP","down","Phosphatidylcholine Biosynthesis",1,1,0.0325,0.0325,0.199
"Misame (14-21 days)","IFA/BEP","down","Glycine and Serine Metabolism",13,2,0.423,0.0632,0.273
"Misame (14-21 days)","IFA/BEP","down","Cysteine Metabolism",2,1,0.065,0.064,0.273
"Misame (14-21 days)","IFA/BEP","down","Taurine and Hypotaurine Metabolism",2,1,0.065,0.064,0.273
"Misame (14-21 days)","IFA/BEP","down","Citric Acid Cycle",2,1,0.065,0.064,0.273
"Misame (14-21 days)","IFA/BEP","down","Pyruvate Metabolism",2,1,0.065,0.064,0.273
"Misame (14-21 days)","IFA/BEP","down","Gluconeogenesis",2,1,0.065,0.064,0.273
"Misame (14-21 days)","IFA/BEP","down","Phosphatidylethanolamine Biosynthesis",2,1,0.065,0.064,0.273
"Misame (14-21 days)","IFA/BEP","down","Bile Acid Biosynthesis",15,2,0.488,0.0819,0.331
"Misame (14-21 days)","IFA/BEP","down","Beta Oxidation of Very Long Chain Fatty Acids",3,1,0.0976,0.0946,0.331
"Misame (14-21 days)","IFA/BEP","down","Alanine Metabolism",3,1,0.0976,0.0946,0.331
"Misame (14-21 days)","IFA/BEP","down","Homocysteine Degradation",3,1,0.0976,0.0946,0.331
"Misame (14-21 days)","IFA/BEP","down","Fatty Acid Biosynthesis",3,1,0.0976,0.0946,0.331
"Misame (14-21 days)","IFA/BEP","down","Phospholipid Biosynthesis",4,1,0.13,0.124,0.38
"Misame (14-21 days)","IFA/BEP","down","Oxidation of Branched Chain Fatty Acids",4,1,0.13,0.124,0.38
"Misame (14-21 days)","IFA/BEP","down","Arachidonic Acid Metabolism",4,1,0.13,0.124,0.38
"Misame (14-21 days)","IFA/BEP","down","Betaine Metabolism",4,1,0.13,0.124,0.38
"Misame (14-21 days)","IFA/BEP","down","Valine, Leucine and Isoleucine Degradation",5,1,0.163,0.153,0.454
"Misame (14-21 days)","IFA/BEP","down","Purine Metabolism",6,1,0.195,0.181,0.521
"Misame (14-21 days)","IFA/BEP","down","Sphingolipid Metabolism",7,1,0.228,0.208,0.581
"Misame (14-21 days)","IFA/BEP","down","Aspartate Metabolism",8,1,0.26,0.234,0.636
