"study","contrast","direction","pathway","feature"
"Misame (14-21 days)","IFA/BEP","up","Glycine and Serine Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Tyrosine Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Beta-Alanine Metabolism","Pantothenic acid"
"Misame (14-21 days)","IFA/BEP","up","Beta-Alanine Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Beta-Alanine Metabolism","Flavin mononucleotide"
"Misame (14-21 days)","IFA/BEP","up","Phenylalanine and Tyrosine Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Ammonia Recycling","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Catecholamine Biosynthesis","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Cysteine Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Propanoate Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Vitamin B6 Metabolism","Pyridoxine"
"Misame (14-21 days)","IFA/BEP","up","Vitamin B6 Metabolism","Pyridoxamine"
"Misame (14-21 days)","IFA/BEP","up","Vitamin B6 Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Vitamin B6 Metabolism","Flavin mononucleotide"
"Misame (14-21 days)","IFA/BEP","up","Vitamin B6 Metabolism","Pyridoxal"
"Misame (14-21 days)","IFA/BEP","up","Arginine and Proline Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Arginine and Proline Metabolism","Flavin mononucleotide"
"Misame (14-21 days)","IFA/BEP","up","Taurine and Hypotaurine Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Porphyrin Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Pantothenate and CoA Biosynthesis","Pantothenic acid"
"Misame (14-21 days)","IFA/BEP","up","Pantothenate and CoA Biosynthesis","Flavin mononucleotide"
"Misame (14-21 days)","IFA/BEP","up","Selenoamino Acid Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Valine, Leucine and Isoleucine Degradation","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Valine, Leucine and Isoleucine Degradation","Pyridoxal"
"Misame (14-21 days)","IFA/BEP","up","Methionine Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Sphingolipid Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Lysine Degradation","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Histidine Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Pyrimidine Metabolism","Flavin mononucleotide"
"Misame (14-21 days)","IFA/BEP","up","Nicotinate and Nicotinamide Metabolism","Nicotinamide riboside"
"Misame (14-21 days)","IFA/BEP","up","Nicotinate and Nicotinamide Metabolism","Nicotinic acid mononucleotide"
"Misame (14-21 days)","IFA/BEP","up","Nicotinate and Nicotinamide Metabolism","Niacinamide"
"Misame (14-21 days)","IFA/BEP","up","Nicotinate and Nicotinamide Metabolism","Nudifloramide"
"Misame (14-21 days)","IFA/BEP","up","Folate Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Alanine Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Starch and Sucrose Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Urea Cycle","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Tryptophan Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Aspartate Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Riboflavin Metabolism","Riboflavin"
"Misame (14-21 days)","IFA/BEP","up","Riboflavin Metabolism","Flavin mononucleotide"
"Misame (14-21 days)","IFA/BEP","up","Glutamate Metabolism","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Thiamine Metabolism","Thiamine"
"Misame (14-21 days)","IFA/BEP","up","Thiamine Metabolism","Thiamine monophosphate"
"Misame (14-21 days)","IFA/BEP","up","Glucose-Alanine Cycle","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Malate-Aspartate Shuttle","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Spermidine and Spermine Biosynthesis","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Threonine and 2-Oxobutanoate Degradation","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Homocysteine Degradation","Pyridoxal 5'-phosphate"
"Misame (14-21 days)","IFA/BEP","up","Carnitine Synthesis","Pyridoxal 5'-phosphate"
