study,timepoint,contrast,direction,klass,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
ELICIT,1 mo.,Nico+Az.,down,metabolite,Methionine Metabolism,8,0.0565,4,6.07e-8,5.95e-6,-70.79646017699115
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Fatty Acid Biosynthesis,3,0.0303,3,7.42e-7,7.27e-5,-99.009900990099
MISAME-III,1-2 mo.,BEP/BEP,down,metabolite,Spermidine and Spermine Biosynthesis,4,0.0283,3,8.63e-7,8.46e-5,-106.0070671378092
MISAME-III,1-2 mo.,BEP,down,metabolite,Spermidine and Spermine Biosynthesis,4,0.0363,3,2.07e-6,2.03e-4,-82.64462809917356
ELICIT,1 mo.,Nico+Az.,down,metabolite,Glutamate Metabolism,5,0.0353,3,2.15e-6,1.05e-4,-84.98583569405099
MISAME-III,1-2 mo.,IFA/BEP,down,metabolite,Spermidine and Spermine Biosynthesis,4,0.0444,3,4.06e-6,3.98e-4,-67.56756756756756
Mumta-LW,2 mo.,BEP+ExBf,down,metabolite,Bile Acid Biosynthesis,14,0.0565,3,8.93e-6,8.75e-4,-53.09734513274336
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Glutamate Metabolism,5,0.0555,3,1.01e-5,9.88e-4,-54.054054054054056
ELICIT,1 mo.,Nico+Az.,down,metabolite,Glycine and Serine Metabolism,9,0.0636,3,1.79e-5,5.83e-4,-47.16981132075471
MISAME-III,1-2 mo.,BEP/BEP,up,metabolite,Bile Acid Biosynthesis,14,0.0706,3,2.21e-5,0.00217,42.492917847025495
MISAME-III,14-21 days,BEP,down,metabolite,Glycine and Serine Metabolism,9,0.0817,3,4.25e-5,0.00416,-36.719706242350064
MISAME-III,3-4 mo.,BEP,down,metabolite,Glycine and Serine Metabolism,9,0.0817,3,4.25e-5,0.00416,-36.719706242350064
ELICIT,1 mo.,Az.,down,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.0141,2,4.28e-5,0.0042,-141.84397163120568
Mumta-LW,2 mo.,BEP,down,metabolite,Bile Acid Biosynthesis,14,0.0848,3,4.39e-5,0.0043,-35.37735849056604
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Arginine and Proline Metabolism,8,0.0888,3,5.54e-5,0.00181,-33.78378378378378
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Methionine Metabolism,8,0.0888,3,5.54e-5,0.00181,-33.78378378378378
ELICIT,5 mo.,Az.,down,metabolite,Propanoate Metabolism,2,0.0161,2,5.71e-5,0.00559,-124.22360248447204
Mumta-LW,2 mo.,BEP+ExBf,up,metabolite,Tryptophan Metabolism,4,0.0161,2,7.32e-5,0.00717,124.22360248447204
ELICIT,1 mo.,Nico+Az.,down,metabolite,Glutathione Metabolism,3,0.0212,2,1.28e-4,0.00314,-94.33962264150944
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Aspartate Metabolism,6,0.0242,2,1.82e-4,0.0179,82.64462809917356
ELICIT,1 mo.,Nico,down,metabolite,Oxidation of Branched Chain Fatty Acids,3,0.0272,2,2.19e-4,0.0214,-73.52941176470588
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Tryptophan Metabolism,4,0.0283,2,2.55e-4,0.0208,70.6713780918728
ELICIT,1 mo.,Nico+Az.,down,metabolite,Carnitine Synthesis,4,0.0283,2,2.55e-4,0.005,-70.6713780918728
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Ammonia Recycling,3,0.0333,2,3.34e-4,0.00655,-60.06006006006005
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Glutathione Metabolism,3,0.0333,2,3.34e-4,0.00655,-60.06006006006005
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Fatty Acid Biosynthesis,3,0.0333,2,3.34e-4,0.0328,-60.06006006006005
ELICIT,5 mo.,Az.,down,metabolite,Purine Metabolism,4,0.0323,2,3.4e-4,0.0166,-61.919504643962846
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Urea Cycle,5,0.0353,2,4.24e-4,0.0208,56.657223796034
ELICIT,1 mo.,Nico,down,metabolite,Carnitine Synthesis,4,0.0363,2,4.36e-4,0.0214,-55.09641873278237
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0404,2,5.44e-4,0.0267,-49.504950495049506
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Carnitine Synthesis,4,0.0444,2,6.65e-4,0.0109,-45.04504504504504
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Glycine and Serine Metabolism,9,0.0454,2,7.24e-4,0.0709,-44.052863436123346
Mumta-LW,2 mo.,BEP,down,metabolite,Methionine Metabolism,8,0.0484,2,8.42e-4,0.0353,-41.32231404958678
MISAME-III,14-21 days,BEP,up,metabolite,Nucleotide Sugars Metabolism,1,0.00101,1,0.00101,0.0989,990.09900990099
MISAME-III,3-4 mo.,BEP/BEP,up,metabolite,Pyrimidine Metabolism,1,0.00101,1,0.00101,0.0989,990.09900990099
MISAME-III,14-21 days,BEP,down,metabolite,Aspartate Metabolism,6,0.0545,2,0.00108,0.0529,-36.69724770642202
Mumta-LW,2 mo.,BEP,down,metabolite,Glycine and Serine Metabolism,9,0.0545,2,0.00108,0.0353,-36.69724770642202
MISAME-III,3-4 mo.,BEP/BEP,down,metabolite,Glycine and Serine Metabolism,9,0.0545,2,0.00108,0.106,-36.69724770642202
MISAME-III,1-2 mo.,BEP,up,metabolite,Bile Acid Biosynthesis,14,0.0565,2,0.0011,0.107,35.39823008849557
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Glutamate Metabolism,5,0.0555,2,0.0011,0.053900000000000003,-36.03603603603604
MISAME-III,1-2 mo.,BEP/BEP,down,metabolite,Methionine Metabolism,8,0.0565,2,0.00117,0.0576,-35.39823008849557
ELICIT,1 mo.,Nico+Az.,down,metabolite,Arginine and Proline Metabolism,8,0.0565,2,0.00117,0.0192,-35.39823008849557
ELICIT,5 mo.,Az.,down,metabolite,Arginine and Proline Metabolism,8,0.0646,2,0.00156,0.0382,-30.959752321981423
ELICIT,5 mo.,Az.,down,metabolite,Methionine Metabolism,8,0.0646,2,0.00156,0.0382,-30.959752321981423
