"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Vital (1.5 mo.)","BEP","up","Ammonia Recycling",7,2,0.125,0.00582,0.251
"Vital (1.5 mo.)","BEP","up","Urea Cycle",7,2,0.125,0.00582,0.251
"Vital (1.5 mo.)","BEP","up","Glutamate Metabolism",8,2,0.143,0.00769,0.251
"Vital (1.5 mo.)","BEP","up","Phenylacetate Metabolism",1,1,0.0179,0.0179,0.351
"Vital (1.5 mo.)","BEP","up","Thyroid hormone synthesis",1,1,0.0179,0.0179,0.351
"Vital (1.5 mo.)","BEP","up","Selenoamino Acid Metabolism",2,1,0.0358,0.0355,0.386
"Vital (1.5 mo.)","BEP","up","Pyrimidine Metabolism",2,1,0.0358,0.0355,0.386
"Vital (1.5 mo.)","BEP","up","Nicotinate and Nicotinamide Metabolism",2,1,0.0358,0.0355,0.386
"Vital (1.5 mo.)","BEP","up","Methylhistidine Metabolism",2,1,0.0358,0.0355,0.386
"Vital (1.5 mo.)","BEP","up","Phenylalanine and Tyrosine Metabolism",3,1,0.0537,0.0528,0.398
"Vital (1.5 mo.)","BEP","up","Amino Sugar Metabolism",3,1,0.0537,0.0528,0.398
"Vital (1.5 mo.)","BEP","up","Alanine Metabolism",3,1,0.0537,0.0528,0.398
"Vital (1.5 mo.)","BEP","up","Glucose-Alanine Cycle",3,1,0.0537,0.0528,0.398
"Vital (1.5 mo.)","BEP","up","Catecholamine Biosynthesis",4,1,0.0715,0.0698,0.456
"Vital (1.5 mo.)","BEP","up","Glutathione Metabolism",4,1,0.0715,0.0698,0.456
"Vital (1.5 mo.)","BEP","up","Tyrosine Metabolism",5,1,0.0894,0.0866,0.499
"Vital (1.5 mo.)","BEP","up","Warburg Effect",5,1,0.0894,0.0866,0.499
"Vital (1.5 mo.)","BEP","up","Purine Metabolism",6,1,0.107,0.103,0.531
"Vital (1.5 mo.)","BEP","up","Tryptophan Metabolism",6,1,0.107,0.103,0.531
"Vital (1.5 mo.)","BEP","up","Beta-Alanine Metabolism",7,1,0.125,0.119,0.584
"Vital (1.5 mo.)","BEP","up","Histidine Metabolism",8,1,0.143,0.135,0.602
"Vital (1.5 mo.)","BEP","up","Aspartate Metabolism",8,1,0.143,0.135,0.602
"Vital (1.5 mo.)","BEP","up","Glycine and Serine Metabolism",13,1,0.233,0.211,0.899
