"study","contrast","direction","pathway","feature"
"Misame (14-21 days)","IFA/BEP","combined","Beta-Alanine Metabolism","Pantothenic acid"
"Misame (14-21 days)","IFA/BEP","combined","Vitamin B6 Metabolism","Pyridoxal"
"Misame (14-21 days)","IFA/BEP","combined","Pantothenate and CoA Biosynthesis","Pantothenic acid"
"Misame (14-21 days)","IFA/BEP","combined","Nicotinate and Nicotinamide Metabolism","Niacinamide"
"Misame (14-21 days)","IFA/BEP","combined","Nicotinate and Nicotinamide Metabolism","N1-Methyl-2-pyridone-5-carboxamide"
"Misame (14-21 days)","IFA/BEP","combined","Nicotinate and Nicotinamide Metabolism","Nicotinamide riboside"
"Misame (14-21 days)","IFA/BEP","combined","Nicotinate and Nicotinamide Metabolism","Nicotinic acid mononucleotide"
"Misame (14-21 days)","IFA/BEP","combined","Riboflavin Metabolism","Flavin Mononucleotide"
"Misame (14-21 days)","IFA/BEP","combined","Thiamine Metabolism","Thiamine"
"Misame (14-21 days)","IFA/BEP","combined","Thiamine Metabolism","Thiamine monophosphate"
